artist_id,artist_name,total_followers,genres,popularity
1Do4bSzfUl0KWL9r1fITu0,Yoon Mirae,280557,"['k-pop', 'korean ost', 'korean pop', 'korean r&b']",57
6dhfy4ByARPJdPtMyrUYJK,Yerin Baek,533801,"['k-pop', 'korean pop']",60
0xRXCcSX89eobfrshSVdyu,MEDUZA,620526,"['edm', 'pop', 'pop dance', 'pop house', 'tropical house']",78
3r0NbTTxtCBUyxcIR4prXr,Jr Crown,119171,"['opm', 'pinoy hip hop', 'tagalog rap']",49
3FwNjtXQCdxpDOXmgJQGnG,Emman,275401,"['pinoy hip hop', 'tagalog rap']",50
2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,4977036,"['pop', 'r&b', 'rap', 'toronto rap', 'urban contemporary']",79
1lmU3giNF3CSbkVSQmLpHQ,Surf Mesa,157576,['tropical house'],63
3O5HD95HTEPgoPFOjAb7yV,DripReport,101978,['viral rap'],54
2TJHmhbmT7L3gw2NKyDTHh,Manu Pilas,35135,[],52
2AfmfGFbe0A0WsTYm0SDTx,(G)I-DLE,5420073,"['k-pop', 'k-pop girl group']",75
6eJqAWJdd8JhAN1pQGie4r,Casting Crowns,1853681,"['ccm', 'christian alternative rock', 'christian music', 'worship']",66
6L1XC7NrmgWRlwAeLJvVtA,Sam Fischer,230505,"['australian pop', 'pop', 'uk pop']",67
6nfDaffa50mKtEOwR8g4df,GOT7,6506532,"['k-pop', 'k-pop boy group']",63
3ybZTNrlK0QhL4rBxfLHOc,Gaho,337042,"['k-pop', 'korean pop']",54
2PaZWGu5T5nHjY2xxAkFsT,THE SCOTTS,183566,[],59
59IohbmVWokN339BcxYt1S,Danzz,212,[],3
63yrD80RY3RNEM2YDpUpO8,Melanie Martinez,16945868,"['alt z', 'electropop', 'pop']",85
3qNVuliS40BLgXGxhdBdqu,TAEYEON,2715177,"['k-pop', 'pop']",68
19POcrtA9EM2Bvlgf19VPu,Brian Pepito,1991,"['bisaya rap', 'vispop']",39
1IFBgp2dkXquUYSNEY6hK7,Soulthrll,19044,"['bisaya rap', 'cdo indie', 'pinoy hip hop', 'pinoy trap', 'tagalog rap', 'vispop']",46
27CDb3SwK4OdTI0YrGR9vH,Tanya Manalang,1578,[],34
5TnQc2N1iKlFjYD7CPGvFc,DAY6,3040785,"['k-pop', 'k-pop boy group']",65
4YXNoMVTHRt01jYaKXTumJ,Raiden,67129,['korean electronic'],53
76BiSFOr2qBMR7TtLxOG5o,Gian Magdangal,897,[],28
5RmQ8k4l3HZ8JoPb4mNsML,Agust D,11241370,['k-rap'],70
7f4ignuCJhLXfZ9giKT7rH,NCT 127,6476682,"['k-pop', 'k-pop boy group']",72
1XLWox9w1Yvbodui0SRhUQ,StaySolidRocky,166335,['melodic rap'],60
6kyw9sh7ryjy1GQdPYH3Yd,Juan Caoile,69841,"['pinoy hip hop', 'tagalog rap']",42
52gTrzyF0DyfkFl1DQz9Oq,Music Hero,109709,"['opm', 'p-pop']",48
6sFHvCyqklnJpXC9Nh1aag,Alexander 23,363949,"['alt z', 'pop']",63
4ufh0WuMZh6y4Dmdnklvdl,BAEKHYUN,2559161,['k-pop'],64
0imE3buPhAowREqCrr4CYe,Peach Tree Rascals,213813,"['chill r&b', 'indie r&b', 'pop']",60
7uDdl5V5AETSFY7K3muu22,Arthur Nery,3245511,"['cdo indie', 'opm', 'p-pop']",69
19vSzy8s8Vc04MWTqExkLN,Ajay Stephens,15413,[],30
1slszTGbkp1uNnI6G5uD0X,BANG YE DAM,196833,[],44
56mfhUDKa1vec6rSLZV5Eg,Jawsh 685,109905,['nz pop'],63
7vPGzgDg3qGUY5bWtrO3K4,Conkarah,73712,['jawaiian'],52
3f0X043zSojego7Qn4Yi6U,Ace Banzuelo,301316,"['opm', 'p-pop', 'pinoy indie', 'pinoy r&b', 'tagalog rap']",58
0u6GtibW46tFX7koQ6uNJZ,Topic,206737,"['covertronica', 'dance pop', 'edm', 'electro house', 'german dance', 'pop', 'pop dance', 'pop edm', 'tropical house']",75
7Dhd8nNMvFdye1R3Y8wE6C,Lil Vinceyy,10777,"['pinoy hip hop', 'tagalog rap']",35
7nqOGRxlXj7N2JYbgNEjYH,SEVENTEEN,8834340,"['k-pop', 'k-pop boy group']",79
2dIgFjalVxs4ThymZ67YCE,Stray Kids,10861872,"['k-pop', 'k-pop boy group']",84
7bmYpVgQub656uNTu6qGNQ,Hwa Sa,3911827,"['k-pop', 'korean talent show']",64
3JDG63cSaK3xgDnB2H55Xp,Audrey Mika,165686,[],54
2M4mQMnLHQQXsFsRmTTqsR,Jana Garcia,1041,['pinoy singer-songwriter'],20
0NIPkIjTV8mB795yEIiPYL,Wallows,2511014,"['indie pop', 'modern rock', 'pop']",72
6bwp9ObI8FWvMPCIWVBmhl,Red Velvet - IRENE & SEULGI,686870,['k-pop'],52
36cIRruPdUPW82OmPWVUQ7,Michael Bars,3252,[],21
6741jcSlgsv0M3B4ruIPS5,EXO-SC,1157654,['k-pop boy group'],47
2JbE7jUIGtpXSzytnyMg6U,Curtis Waters,83775,[],53
5ENj57ble0bsG2s6C0vVkc,Alessandra De Rossi,1980,[],32
2IDLDx25HU1nQMKde4n61a,Rich Brian,2148983,['indonesian hip hop'],70
5GoU6Zkbt3w10nTYq6vBQh,Twenty-Nine Eleven,14031,[],22
2LIk90788K0zvyj2JJVwkJ,Jack Harlow,2840233,"['deep underground hip hop', 'kentucky hip hop', 'pop', 'rap']",81
4Uc8Dsxct0oMqx0P6i60ea,Conan Gray,7790412,"['bedroom pop', 'pop']",81
3KonOYiLsU53m4yT7gNotP,TREASURE,2614980,['k-pop'],71
4BBN286rBKyCWsSPq2cxYO,Sam Kim,420495,"['chill r&b', 'k-pop', 'korean pop', 'korean r&b']",60
1KP6TWI40m7p3QBTU6u2xo,BØRNS,1130839,"['modern rock', 'pop']",68
6iWghHqk07KYuZWB21Ff4i,Jem Macatuno,16746,"['opm', 'pinoy singer-songwriter']",44
4slXciON4jYY6mqE9LjSFx,Bandang Lapis,428714,"['opm', 'p-pop']",56
45dkTj5sMRSjrmBSBeiHym,Tate McRae,3464889,['pop'],81
6fWVd57NKTalqvmjRd2t8Z,24kGoldn,2007609,"['cali rap', 'pop', 'pop rap', 'rap']",73
0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,12295154,['brooklyn drill'],84
0ZVAv3drBuIRSc88ATH6UK,DJ Noiz,98957,"['dubsteppe', 'nz hip hop', 'pacific islands pop', 'pop rap']",52
